Step,Loss_train
561,2.3301565371212418e-05
562,2.320868649701139e-05
563,2.3339256865033236e-05
564,2.332326331963339e-05
565,2.3177525213150476e-05
566,2.3024447606661356e-05
567,2.3192857779159013e-05
568,2.3056404445045177e-05
569,2.3125111105372854e-05
570,2.3093402662595806e-05
571,2.2982089663997602e-05
572,2.3135697330459118e-05
573,2.3075409337536237e-05
574,2.3009017998011487e-05
575,2.2969126995757656e-05
576,2.2956160467548725e-05
577,2.2920707260456263e-05
578,2.2957041288783306e-05
579,2.286293867299387e-05
580,2.285588117239694e-05
581,2.2869494611013504e-05
582,2.296247477575347e-05
583,2.2777116057701497e-05
584,2.292919208125023e-05
585,2.280354579892963e-05
586,2.273980766477307e-05
587,2.2662375520333e-05
588,2.2776894527339507e-05
589,2.2679418003199597e-05
590,2.2761202516484442e-05
591,2.268012929487511e-05
592,2.252289812425268e-05
593,2.2649995403083475e-05
594,2.2594428093325302e-05
595,2.2617430175762776e-05
596,2.2332042411039574e-05
597,2.2413100066102404e-05
598,2.2384646701062887e-05
599,2.2489719479173424e-05
600,2.2572787275232036e-05
601,2.2449801807064162e-05
602,2.2482932006033408e-05
603,2.2357609995625127e-05
604,2.2438020963853884e-05
605,2.2453009224999247e-05
606,2.2413586170436534e-05
607,2.2431378258709663e-05
608,2.242612850360302e-05
609,2.2460186834315185e-05
610,2.236104719587657e-05
611,2.2358479725584488e-05
612,2.2312238842862733e-05
613,2.2409290580408627e-05
614,2.2343992186240505e-05
615,2.2234994536629426e-05
616,2.2274137657463205e-05
617,2.2313402895694574e-05
618,2.2327005768402108e-05
619,2.238232388072879e-05
620,2.2357108925163e-05
621,2.244909665542792e-05
622,2.2154707293564488e-05
623,2.2198112219484756e-05
624,2.238720164363547e-05
625,2.2216851210496087e-05
626,2.221512942080538e-05
627,2.2142994222593284e-05
628,2.2198964863800788e-05
629,2.207991144428802e-05
630,2.2112713661480583e-05
631,2.22270707955307e-05
632,2.2131564514640056e-05
633,2.1984716888589617e-05
634,2.221874160600072e-05
635,2.2095895235103846e-05
636,2.205071199021703e-05
637,2.2094123011525186e-05
638,2.2082176697280942e-05
639,2.2005363665391638e-05
640,2.2034959531848677e-05
641,2.2154701430933774e-05
642,2.198420488392378e-05
643,2.1939357385402987e-05
644,2.204808196049656e-05
645,2.1845367509272074e-05
646,2.1956567292563756e-05
647,2.1940646736963818e-05
648,2.1883195466882708e-05
649,2.18769589260168e-05
650,2.1998778859465487e-05
651,2.1863268134590845e-05
652,2.1893617924337514e-05
653,2.1696034708899654e-05
654,2.18624476164651e-05
655,2.1885377282287004e-05
